id,title,artist,album,year,genre,lyrics,imageFile
34,Too Sweet,Hozier,Billboard Year-End Hot 100 2025,2025,Pop,Too Sweet Hozier chart hit rank 34 pop radio streaming popular 2025,034-too-sweet.svg
35,Worst Way,Riley Green,Billboard Year-End Hot 100 2025,2025,Country,Worst Way Riley Green chart hit rank 35 country radio streaming popular 2025,035-worst-way.svg
36,Sailor Song,Gigi Perez,Billboard Year-End Hot 100 2025,2025,Pop,Sailor Song Gigi Perez chart hit rank 36 pop radio streaming popular 2025,036-sailor-song.svg
37,Sorry I'm Here for Someone Else,Benson Boone,Billboard Year-End Hot 100 2025,2025,Pop,Sorry I'm Here for Someone Else Benson Boone chart hit rank 37 pop radio streaming popular 2025,037-sorry-i-m-here-for-someone-else.svg
38,Manchild,Sabrina Carpenter,Billboard Year-End Hot 100 2025,2025,Pop,Manchild Sabrina Carpenter chart hit rank 38 pop radio streaming popular 2025,038-manchild.svg
39,Anxiety,Doechii,Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,Anxiety Doechii chart hit rank 39 hip-hop/rap radio streaming popular 2025,039-anxiety.svg
40,I Got Better,Morgan Wallen,Billboard Year-End Hot 100 2025,2025,Country,I Got Better Morgan Wallen chart hit rank 40 country radio streaming popular 2025,040-i-got-better.svg
41,Sticky,"Tyler, the Creator featuring GloRilla, Sexyy Red and Lil Wayne",Billboard Year-End Hot 100 2025,2025,Hip-Hop/Rap,"Sticky Tyler, the Creator featuring GloRilla, Sexyy Red and Lil Wayne chart hit rank 41 hip-hop/rap radio streaming popular 2025",041-sticky.svg
42,Undressed,Sombr,Billboard Year-End Hot 100 2025,2025,Pop,Undressed Sombr chart hit rank 42 pop radio streaming popular 2025,042-undressed.svg
43,I Never Lie,Zach Top,Billboard Year-End Hot 100 2025,2025,Country,I Never Lie Zach Top chart hit rank 43 country radio streaming popular 2025,043-i-never-lie.svg
44,Back to Friends,Sombr,Billboard Year-End Hot 100 2025,2025,Pop,Back to Friends Sombr chart hit rank 44 pop radio streaming popular 2025,044-back-to-friends.svg
